"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0M760","2019-09-16 00:00:00","40.000","188.000","1.100","25.900","0.990","1002.700","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","25.900",""
"C0O950","2019-09-16 00:00:00","4.000","0.000","0.000","27.400","0.830","1005.600","-99.000","0.500","-99.000","-99.000","-99.000","31.300","","26.600",""
"C0F9A0","2019-09-16 00:00:00","425.000","295.000","0.600","23.400","0.940","959.200","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","23.400",""
"C0A9F0","2019-09-16 00:00:00","35.000","0.000","0.100","26.200","1.000","1005.400","-99.000","24.000","-99.000","-99.000","-99.000","28.500","","24.600",""
"C0W160","2019-09-16 00:00:00","49.000","52.000","13.300","27.500","0.790","999.800","-99.000","0.000","-99.000","-99.000","-99.000","28.500","","27.200",""
"C0E420","2019-09-16 00:00:00","19.000","29.000","4.000","26.200","0.770","1003.100","-99.000","5.500","-99.000","-99.000","-99.000","30.000","","24.200",""
"C0R190","2019-09-16 00:00:00","32.000","0.000","0.000","24.800","1.000","1003.200","-99.000","124.500","-99.000","-99.000","-99.000","32.800","","24.400",""
"C0I010","2019-09-16 00:00:00","1562.000","0.000","0.200","18.600","0.760","845.400","-99.000","0.000","-99.000","-99.000","-99.000","23.700","","17.300",""
"C0F930","2019-09-16 00:00:00","100.000","66.000","0.500","26.600","0.950","995.400","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","25.600",""
"C0X180","2019-09-16 00:00:00","62.000","145.000","1.200","25.200","0.990","999.500","-99.000","0.000","-99.000","-99.000","-99.000","31.100","","25.200",""
"C0ACA0","2019-09-16 00:00:00","25.000","0.000","0.000","26.200","0.840","1004.900","-99.000","10.000","-99.000","-99.000","-99.000","27.800","","24.900",""
"C0X260","2019-09-16 00:00:00","39.000","172.000","1.200","25.400","0.960","1003.000","-99.000","1.500","-99.000","-99.000","-99.000","32.100","","25.200",""
"C0K500","2019-09-16 00:00:00","12.000","34.000","1.700","26.200","0.850","1004.600","-99.000","0.000","-99.000","-99.000","-99.000","32.000","","25.900",""
"CM0010","2019-09-16 00:00:00","68.000","0.000","0.200","25.500","-99.000","1001.400","-99.000","25.000","-99.000","-99.000","-99.000","27.700","","24.600",""
"C0O990","2019-09-16 00:00:00","18.000","149.000","1.900","25.200","0.990","1004.800","-99.000","0.000","-99.000","-99.000","-99.000","32.400","","25.200",""
"C0E430","2019-09-16 00:00:00","258.000","189.000","0.400","22.200","0.940","981.600","-99.000","0.500","-99.000","-99.000","-99.000","28.500","","21.500",""
"C0D390","2019-09-16 00:00:00","146.000","0.000","0.000","23.300","0.950","990.000","-99.000","15.000","-99.000","-99.000","-99.000","28.000","","22.800",""
"C0T9F0","2019-09-16 00:00:00","251.000","261.000","0.900","24.400","0.860","979.700","-99.000","0.000","-99.000","-99.000","-99.000","31.300","","23.300",""
"C0R350","2019-09-16 00:00:00","35.000","55.000","1.000","25.400","0.910","1003.500","-99.000","1.000","-99.000","-99.000","-99.000","32.500","","24.300",""
"C0K550","2019-09-16 00:00:00","15.000","0.000","0.200","26.100","0.870","1005.500","-99.000","0.000","-99.000","-99.000","-99.000","32.400","","26.000",""
"C0C670","2019-09-16 00:00:00","250.000","46.000","2.000","24.000","0.860","980.700","-99.000","36.000","-99.000","-99.000","-99.000","26.100","","22.200",""
"C0A980","2019-09-16 00:00:00","11.000","256.000","0.700","25.200","0.940","1008.000","-99.000","18.000","-99.000","-99.000","-99.000","27.600","","24.800",""
"C0X270","2019-09-16 00:00:00","33.000","142.000","0.500","24.400","1.000","1004.000","-99.000","75.500","-99.000","-99.000","-99.000","32.100","","24.400",""
"C0UA60","2019-09-16 00:00:00","566.000","334.000","2.700","24.100","0.700","945.600","-99.000","0.000","-99.000","-99.000","-99.000","28.900","","21.300",""
"C0V720","2019-09-16 00:00:00","15.000","246.000","0.500","28.000","0.810","1005.600","-99.000","12.500","-99.000","-99.000","-99.000","31.900","","25.900",""
"C0C480","2019-09-16 00:00:00","105.000","0.000","0.000","24.700","0.940","996.700","-99.000","61.500","-99.000","-99.000","-99.000","28.000","","23.400",""
"C0S900","2019-09-16 00:00:00","27.000","344.000","2.800","28.300","0.800","1005.000","-99.000","1.500","8.700","336.000","","30.400","","27.200",""
